ticker,date,time,headline
VCB,12/16/2024,14:40,Kiểm toán nhà nước: Công khai kết quả kiểm toán tại Vietcombank
VCB,12/1/2024,13:05,"Được Quốc hội chấp thuận chủ trương, Vietcombank chuẩn bị trả cổ tức gần 50%"
VCB,10/31/2024,0:08,Ông Nguyễn Mỹ Hào xin từ nhiệm vị trí Thành viên HĐQT Vietcombank
VCB,9/24/2024,19:34,Chính phủ đề xuất đầu tư bổ sung 20.695 tỷ đồng để VCB tăng vốn điều lệ
VCB,9/18/2024,10:28,Chủ tịch Vietcombank: Kế hoạch phát hành cổ phiếu riêng lẻ có thể hoàn thành trong nửa đầu năm 2025
VCB,8/22/2024,17:15,Vietcombank bầu loạt nhân sự cấp cao
VCB,8/9/2024,13:30,"Dân văn phòng ""săn"" quà mua sắm online, đi taxi tại sự kiện VCB Digibank"
VCB,8/2/2024,10:59,Lãnh đạo cấp cao Vietcombank sang làm Phó Chánh thanh tra Ngân hàng Nhà nước
VCB,7/30/2024,22:21,"Vietcombank: Lợi nhuận nửa đầu năm đạt kỷ lục hơn 20.800 tỷ đồng, nợ xấu tăng mạnh"
VCB,7/15/2024,10:58,"Vụ 4 cán bộ Vietcombank bị khởi tố: Không chỉ Vietcombank, loạt ngân hàng lớn cũng bị lừa đảo hàng trăm tỷ, công an đang tiếp tục xác minh"
VCB,7/12/2024,16:55,Bốn cán bộ ngân hàng Vietcombank bị khởi tố vì thiếu trách nhiệm gây thiệt hại hơn 600 tỷ đồng
VCB,7/5/2024,19:06,"ACBS: Vietcombank chuẩn bị bán 6,5% vốn cho Mizuho và một số cổ đông khác, giá phát hành có thể đạt 100.000 đồng/cp"
VCB,7/1/2024,9:48,Vietcombank chuẩn bị họp cổ đông bất thường bàn chuyện nhân sự và phát hành cổ phiếu riêng lẻ
VCB,4/27/2024,16:49,Vietcombank dự kiến nhận chuyển giao CBBank trong năm nay: Sẽ được hưởng nhiều lợi ích về tín dụng và cơ chế
VCB,3/22/2024,14:39,Hé lộ thương vụ bán vốn tỷ USD của 2 ngân hàng lớn
VCB,2/29/2024,9:44,Điểm danh những cổ phiếu ngân hàng vượt đỉnh lịch sử
VCB,2/28/2024,13:30,Vietcombank chốt phương án dùng gần 21.700 tỷ lợi nhuận năm 2022 để chia cổ tức
VCB,2/24/2024,14:00,Vietcombank chuẩn bị họp cổ đông bàn phương án phân phối lợi nhuận và tăng vốn
VCB,1/31/2024,14:14,"Một nhân sự nhóm Big4 có lương, thưởng cao hơn Chủ tịch và Tổng Giám đốc"
VCB,1/31/2024,13:04,Lợi nhuận hơn 41.000 tỷ của Vietcombank năm 2023 đến từ đâu?
VCB,1/6/2024,9:22,"Vietcombank xác lập kỷ lục mới về lợi nhuận, ước lãi trên 41.000 tỷ trong năm 2023"
VCB,1/5/2024,11:11,Vietcombank bổ nhiệm người đại diện theo pháp luật thay ông Phạm Quang Dũng
VCB,12/28/2023,16:05,Ai phụ trách HĐQT Vietcombank sau khi ông Phạm Quang Dũng được bổ nhiệm làm Phó Thống đốc?
VCB,12/8/2023,10:58,Vietcombank bổ nhiệm Kế toán trưởng mới
VCB,10/30/2023,10:41,Lộ diện ngân hàng mua lượng lớn tín phiếu do Ngân hàng Nhà nước phát hành
VCB,10/5/2023,17:30,Vô vàn ưu đãi dành cho khách hàng Vietcombank khi mở tài khoản chứng khoán
VCB,8/16/2023,22:00,Vietcombank chuẩn bị họp cổ đông bất thường
VCB,8/16/2023,14:07,Vietcombank bổ nhiệm loạt nhân sự cấp cao
VCB,7/29/2023,8:06,Vì đâu tổng tài sản Vietcombank giảm hơn 109.500 tỷ đồng trong nửa đầu năm?
VCB,7/7/2023,17:21,"VCB tăng trở lại mức giá cao nhất lịch sử, khối ngoại bán ròng gần 700 tỷ một cổ phiếu ngân hàng"
VCB,7/7/2023,14:15,"Vietcombank chốt danh sách cổ đông trả cổ tức 18,1%"
VCB,7/4/2023,12:34,"Một ông lớn ngân hàng chuẩn bị trả cổ tức, tỷ lệ 18,1%"
VCB,6/6/2023,13:32,"Trở thành ngân hàng mẹ của Ngân hàng Xây dựng, Vietcombank được gì?"
VCB,6/5/2023,17:10,Ngân hàng Xây dựng sắp chuyển giao bắt buộc về Vietcombank
VCB,5/31/2023,13:53,NHNN cho phép Vietcombank tăng vốn lên hơn 55.800 tỷ đồng
VCB,5/7/2023,15:33,"Vietcombank chuẩn bị trả cổ tức tỷ lệ hơn 18%, tăng vốn lên trên 55.000 tỷ đồng"
VCB,4/21/2023,13:55,"Vietcombank lãi 11.200 tỷ trong quý I, dự kiến trả cổ tức 18,1% trong tháng 5"
VCB,4/21/2023,9:20,"ĐHĐCĐ Vietcombank: Dự kiến trích 21.680 tỷ đồng chia cổ tức năm 2022, đã trình Chính phủ chủ trương nhận chuyển giao bắt buộc 1 TCTD"
VCB,4/20/2023,21:31,"Vietcombank đặt mục tiêu lợi nhuận tăng tối thiểu 15%, dự kiến vượt mức 43.000 tỷ trong năm 2023"
VCB,3/31/2023,13:56,Vietcombank được đón nhận danh hiệu Anh hùng Lao động
VCB,2/22/2023,10:26,"Tài sản thế chấp tại Vietcombank vượt mốc 2 triệu tỷ đồng, bất động sản chiếm gần 74%"
VCB,2/6/2023,19:01,"Vietcombank (VCB) lập đỉnh mọi thời đại, vốn hóa vượt tổng BIDV và Vietinbank cộng lại"
VCB,2/1/2023,19:29,"Vietcombank chi 10.700 tỷ cho nhân viên năm 2022, Chủ tịch và Tổng Giám đốc nhận thù lao bao nhiêu?"
VCB,1/31/2023,19:35,Vietcombank có tân Tổng giám đốc
VCB,1/31/2023,13:34,Một quý kinh doanh của Vietcombank hiệu quả hơn nhiều so với lợi nhuận cả năm của các ngân hàng lớn khác
VCB,1/19/2023,17:31,"Cổ phiếu Vietcombank tăng mạnh, vốn hóa gần bằng cả Vinhomes và Vingroup cộng lại"
VCB,1/18/2023,16:09,"Cổ phiếu ngân hàng tiếp tục tăng giá, khối ngoại gom mạnh nhóm 'Big3'"
VCB,1/16/2023,17:03,"Cổ phiếu Big3 ngân hàng tăng mạnh, khối ngoại thỏa thuận ''khủng'' tại ACB"
VCB,1/9/2023,10:35,"Năm 2022: Vietcombank đạt và vượt tất cả các chỉ tiêu kinh doanh, tỷ lệ dự phòng bao nợ xấu cao kỷ lục 465%"
VCB,1/2/2023,9:25,"Vietcombank tiếp tục giảm lãi suất cho vay, áp dụng trong 4 tháng đầu năm 2023"
VCB,12/9/2022,9:58,Vietcombank chuẩn bị tổ chức đại hội cổ đông bất thường
VCB,12/6/2022,10:23,"Vietcombank, PV Gas, BIDV, Becamex IDC và EVN Genco2 - Nhóm có cổ phần Nhà nước trở thành bệ đỡ ""cứng"" khi thị trường chứng khoán lao dốc trong năm 2022"
VCB,12/5/2022,11:25,"Vietcombank, BIDV, Vincom Retail, PNJ... và loạt DN vượt bão 2022: Vốn hoá tăng hàng chục nghìn tỷ đồng từ đầu năm bất chấp sóng giảm dài 7 tháng"
VCB,8/30/2022,15:32,"Thông tin nới ''room'' hỗ trợ, nhiều cổ phiếu ngân hàng tăng mạnh"
VCB,8/25/2022,6:37,"VCB dẫn sóng nhóm ngân hàng, khối ngoại trở lại mua ròng STB và HDB"
VCB,8/1/2022,15:56,"CTG, BID và VCB dẫn đầu tăng giá, cổ phiếu ngân hàng tràn ngập trong sắc xanh"
VCB,7/28/2022,15:40,"BVSC: Tín dụng tăng mạnh nhất 10 năm, Vietcombank có thể được nới room lên 19%"
VCB,7/26/2022,16:33,"VCB, BID kéo điểm thị trường, khối ngoại mua ròng nhiều mã ngân hàng"
VCB,7/9/2022,12:51,Gió đổi chiều: Nhóm ngân hàng quốc doanh sẽ tăng trưởng tốt hơn khối tư nhân?
VCB,6/23/2022,9:57,Vụ chi nhánh ngân hàng bị thất thoát hàng trăm tỉ: Nhiều bị cáo được thuê làm giám đốc
VCB,6/21/2022,17:24,"Khối ngoại gom mạnh cổ phiếu ngân hàng, giao dịch thỏa thuận ''khủng'' tại OCB và HDB"
VCB,6/8/2022,16:50,"Cổ phiếu ngân hàng đồng loạt ''dậy sóng'', bộ ba SHB, STB và LPB tăng trần"
VCB,6/7/2022,22:19,"Rao bán 15 lần, Vietcombank giảm giá 18 tỷ đồng nợ thế chấp bằng bất động sản tại Lâm Đồng"
VCB,6/7/2022,18:32,"VCB, CTG và TCB ngược dòng tăng giá, HDB được khối ngoại mua ròng 18 phiên liên tiếp"
VCB,6/1/2022,20:34,"Một cổ phiếu ngân hàng tăng 12% sau hai phiên, khối ngoại tiếp tục mua ròng HDB"
VCB,6/1/2022,16:02,Ngân hàng dự kiến phát hành hơn 12 tỷ cổ phiếu trong năm nay
VCB,5/5/2022,10:01,Vì đâu Vietcombank mất ngôi vương lợi nhuận vào tay VPBank?
VCB,4/29/2022,17:45,"Một cổ phiếu ngân hàng bất ngờ tăng hơn 10%, CTG và VCB giảm giá trong ngày đại hội"
VCB,4/29/2022,11:36,"Vietcombank lãi gần 10.000 tỷ trong quý I, thu hồi được 3.000 tỷ nợ xấu tại CBBank"
VCB,4/29/2022,9:14,[Live] ĐHCĐ Vietcombank 2022: Hé lộ về ngân hàng được nhận chuyển giao bắt buộc
VCB,4/29/2022,8:51,"Vietcombank sẽ nhận chuyển giao bắt buộc 1 ngân hàng yếu kém, dự kiến nhận loạt chính sách ưu tiên"
VCB,4/27/2022,20:19,Vietcombank bổ nhiệm cùng lúc 2 lãnh đạo cấp cao
VCB,4/22/2022,20:30,Vietcombank nắm giữ bao nhiêu trái phiếu doanh nghiệp?
VCB,4/15/2022,11:10,"ACBS: Lợi nhuận của Vietcombank năm nay sẽ vượt 36,7 nghìn tỷ đồng, tăng trưởng cao nhất trong 3 năm trở lại đây"
VCB,4/12/2022,15:47,"Một ""ông lớn'' ngân hàng lên kế hoạch lợi nhuận vượt 30.000 tỷ đồng"
VCB,4/12/2022,13:30,"Vietcombank muốn chia cổ tức tỷ lệ 18,1% trong năm nay, hướng tới niêm yết cổ phiếu trên thị trường nước ngoài vào năm 2025"
VCB,3/9/2022,14:13,"""Hoa hậu làng bank"": Các chuyên gia đánh giá như thế nào về VCB, TCB, VPB, STB, TPB, MBB và LPB?"
VCB,3/7/2022,18:30,Cổ phiếu ngân hàng Việt chịu tác động như thế nào từ cuộc xung đột Nga – Ukraine?
VCB,2/25/2022,9:30,VCSC gọi tên 3 cổ phiếu ngân hàng tiềm năng trong dài hạn
